[2022-03-15 01:03:20,736] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28039 | Orden del dataframe: 54
[{2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28039 | Orden del dataframe: 54
[2022-03-15 01:03:20,737] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Requena  |Zipcode: 46340 | Orden del dataframe: 55
[{2164818226.py:58} INFO - Sin procesar |City: Requena  |Zipcode: 46340 | Orden del dataframe: 55
[2022-03-15 01:03:20,738] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Benahadux  |Zipcode: 04410 | Orden del dataframe: 56
[{2164818226.py:58} INFO - Sin procesar |City: Benahadux  |Zipcode: 04410 | Orden del dataframe: 56
[2022-03-15 01:03:20,738] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Benahadux  |Zipcode: 04410 | Orden del dataframe: 57
[{2164818226.py:58} INFO - Sin procesar |City: Benahadux  |Zipcode: 04410 | Orden del dataframe: 57
[2022-03-15 01:03:20,739] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Talavera de la Reina |Zipcode: 45600 | Orden del dataframe: 58
[{2164818226.py:58} INFO - Sin procesar |City: Talavera de la Reina |Zipcode: 45600 | Orden del dataframe: 58
[2022-03-15 01:03:20,739] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Talavera de la Reina |Zipcode: 45600 | Orden del dataframe: 59
[{2164818226.py:58} INFO - Sin procesar |City: Talavera de la Reina |Zipcode: 45600 | Orden del dataframe: 59
[2022-03-15 01:03:20,739] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Talavera de la Reina |Zipcode: 45600 | Orden del dataframe: 60
[{2164818226.py:58} INFO - Sin procesar |City: Talavera de la Reina |Zipcode: 45600 | Orden del dataframe: 60
[2022-03-15 01:03:20,740] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almoradi |Zipcode: 03160 | Orden del dataframe: 61
[{2164818226.py:58} INFO - Sin procesar |City: Almoradi |Zipcode: 03160 | Orden del dataframe: 61
[2022-03-15 01:03:20,740] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almoradi |Zipcode: 03160 | Orden del dataframe: 62
[{2164818226.py:58} INFO - Sin procesar |City: Almoradi |Zipcode: 03160 | Orden del dataframe: 62
[2022-03-15 01:03:20,741] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 63
[{2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 63
[2022-03-15 01:03:20,741] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 64
[{2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 64
[2022-03-15 01:03:20,742] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 65
[{2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 65
[2022-03-15 01:03:20,742] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 66
[{2164818226.py:58} INFO - Sin procesar |City: Alcalá de Guadaíra |Zipcode: 41500 | Orden del dataframe: 66
[2022-03-15 01:03:20,743] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 67
[{2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 67
[2022-03-15 01:03:20,743] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 68
[{2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 68
[2022-03-15 01:03:20,744] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 69
[{2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 69
[2022-03-15 01:03:20,744] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 70
[{2164818226.py:58} INFO - Sin procesar |City: Pamplona |Zipcode: 31014 | Orden del dataframe: 70
[2022-03-15 01:03:20,745] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 71
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 71
[2022-03-15 01:03:20,745] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 72
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 72
[2022-03-15 01:03:20,746] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 73
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 73
[2022-03-15 01:03:20,746] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 74
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 74
[2022-03-15 01:03:20,747] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 75
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 75
[2022-03-15 01:03:20,747] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 76
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 76
